timestamp_utc,search_term,rank,title
2026-09-23T22:36:29.935466+00:00,Migration and Labor 1900,1,"Tramps and trade-union travelers : internal migration and organized labor in Gilded Age America, 1870-1900 "
2026-09-23T22:36:29.935466+00:00,Migration and Labor 1900,2,Migration and Labor Market Adjustment 
2026-09-23T22:36:29.935466+00:00,Migration and Labor 1900,3,Working on labor : essays in honor of Jan Lucassen 
2026-09-23T22:36:29.935466+00:00,Migration and Labor 1900,4,Negro migration in 1916-17 
2026-09-23T22:36:29.935466+00:00,Migration and Labor 1900,5,"The genesis of international mass migration : the British case, 1750-1900 "
2026-09-23T22:36:30.458019+00:00,cats AND dogs,1,Scientific and humane issues in the use of random source dogs and cats in research 
2026-09-23T22:36:30.458019+00:00,cats AND dogs,2,Scientific and humane issues in the use of random source dogs and cats in research 
2026-09-23T22:36:30.458019+00:00,cats AND dogs,3,Sunday morning. Osgood short : like dogs and cats 
2026-09-23T22:36:30.458019+00:00,cats AND dogs,4,Cats : a history 
2026-09-23T22:36:30.458019+00:00,cats AND dogs,5,Deafness in dogs and cats 
2026-09-23T22:36:31.084903+00:00,saltwater encroachment AND climate change,1,Simulation of salinity intrusion along the Georgia and South Carolina coasts using climate-change scenarios 
2026-09-23T22:36:31.084903+00:00,saltwater encroachment AND climate change,2,Simulation of salinity intrusion along the Georgia and South Carolina coasts using climate-change scenarios 
2026-09-23T22:36:31.084903+00:00,saltwater encroachment AND climate change,3,"Simulation of water-table and freshwater/saltwater interface response to climate-change-driven sea-level rise and changes in recharge at Fire Island National Seashore, New York "
2026-09-23T22:36:31.084903+00:00,saltwater encroachment AND climate change,4,"Simulation of water-table and freshwater/saltwater interface response to climate-change-driven sea-level rise and changes in recharge at Fire Island National Seashore, New York "
2026-09-23T22:36:31.084903+00:00,saltwater encroachment AND climate change,5,Sudden spring : stories of adaptation in a climate-changed South 
2026-09-23T22:40:55.344641+00:00,linear algebra,1,Linear algebra 
2026-09-23T22:40:55.344641+00:00,linear algebra,2,Linear algebra 
2026-09-23T22:40:55.344641+00:00,linear algebra,3,Linear algebra
2026-09-23T22:40:55.344641+00:00,linear algebra,4,Linear algebra 
2026-09-23T22:40:55.344641+00:00,linear algebra,5,Linear algebra 
2026-09-24T00:48:48.057842+00:00,Migration and Labor 1900,1,"Tramps and trade-union travelers : internal migration and organized labor in Gilded Age America, 1870-1900 "
2026-09-24T00:48:48.057842+00:00,Migration and Labor 1900,2,Migration and Labor Market Adjustment 
2026-09-24T00:48:48.057842+00:00,Migration and Labor 1900,3,Working on labor : essays in honor of Jan Lucassen 
2026-09-24T00:48:48.057842+00:00,Migration and Labor 1900,4,Negro migration in 1916-17 
2026-09-24T00:48:48.057842+00:00,Migration and Labor 1900,5,"The genesis of international mass migration : the British case, 1750-1900 "
2026-09-24T06:01:39.605501+00:00,cats AND dogs,1,Scientific and humane issues in the use of random source dogs and cats in research 
2026-09-24T06:01:39.605501+00:00,cats AND dogs,2,Scientific and humane issues in the use of random source dogs and cats in research 
2026-09-24T06:01:39.605501+00:00,cats AND dogs,3,Sunday morning. Osgood short : like dogs and cats 
2026-09-24T06:01:39.605501+00:00,cats AND dogs,4,Cats : a history 
2026-09-24T06:01:39.605501+00:00,cats AND dogs,5,Deafness in dogs and cats 
2026-09-24T12:07:30.349508+00:00,saltwater encroachment AND climate change,1,Simulation of salinity intrusion along the Georgia and South Carolina coasts using climate-change scenarios 
2026-09-24T12:07:30.349508+00:00,saltwater encroachment AND climate change,2,Simulation of salinity intrusion along the Georgia and South Carolina coasts using climate-change scenarios 
2026-09-24T12:07:30.349508+00:00,saltwater encroachment AND climate change,3,"Simulation of water-table and freshwater/saltwater interface response to climate-change-driven sea-level rise and changes in recharge at Fire Island National Seashore, New York "
2026-09-24T12:07:30.349508+00:00,saltwater encroachment AND climate change,4,"Simulation of water-table and freshwater/saltwater interface response to climate-change-driven sea-level rise and changes in recharge at Fire Island National Seashore, New York "
2026-09-24T12:07:30.349508+00:00,saltwater encroachment AND climate change,5,Sudden spring : stories of adaptation in a climate-changed South 
2026-09-24T16:30:45.269028+00:00,project management AND software,1,Project management 
2026-09-24T16:30:45.269028+00:00,project management AND software,2,The project management tool kit : 100 tips and techniques for getting the job done right 
2026-09-24T16:30:45.269028+00:00,project management AND software,3,Project management : case studies 
2026-09-24T16:30:45.269028+00:00,project management AND software,4,Painless project management with FogBugz
2026-09-24T16:30:45.269028+00:00,project management AND software,5,Adaptable project management : a combination of agile and project management for All (PM4A) 
2026-09-24T16:40:23.541640+00:00,history of japanese art,1,History of Japanese art 
2026-09-24T16:40:23.541640+00:00,history of japanese art,2,History of Japanese art 
2026-09-24T16:40:23.541640+00:00,history of japanese art,3,"History of Japanese art after 1945 : institutions, discourses, practice "
2026-09-24T16:40:23.541640+00:00,history of japanese art,4,A history of Japanese art  : from prehistory to the Taisho period 
2026-09-24T16:40:23.541640+00:00,history of japanese art,5,A concise history of Japanese art 
2026-09-24T16:45:21.736816+00:00,science,1,Science.
2026-09-24T16:45:21.736816+00:00,science,2,Science
2026-09-24T16:45:21.736816+00:00,science,3,Science.
2026-09-24T16:45:21.736816+00:00,science,4,Science 
2026-09-24T16:45:21.736816+00:00,science,5,Science 
2026-09-24T17:00:28.093015+00:00,maryland history,1,Maryland history 
2026-09-24T17:00:28.093015+00:00,maryland history,2,Women of achievement in Maryland history 
2026-09-24T17:00:28.093015+00:00,maryland history,3,Maryland history and culture bibliography.
2026-09-24T17:00:28.093015+00:00,maryland history,4,Maryland history notes.
2026-09-24T17:00:28.093015+00:00,maryland history,5,Highlights of Maryland history as presented in the Darnell Young People's Museum: on exhibit at the Maryland Historical Society.
2026-09-24T17:15:23.513301+00:00,linear algebra,1,Linear algebra 
2026-09-24T17:15:23.513301+00:00,linear algebra,2,Linear algebra 
2026-09-24T17:15:23.513301+00:00,linear algebra,3,Linear algebra
2026-09-24T17:15:23.513301+00:00,linear algebra,4,Linear algebra 
2026-09-24T17:15:23.513301+00:00,linear algebra,5,Linear algebra 
2026-09-24T17:30:27.422366+00:00,Migration and Labor 1900,1,"Tramps and trade-union travelers : internal migration and organized labor in Gilded Age America, 1870-1900 "
2026-09-24T17:30:27.422366+00:00,Migration and Labor 1900,2,Migration and Labor Market Adjustment 
2026-09-24T17:30:27.422366+00:00,Migration and Labor 1900,3,Working on labor : essays in honor of Jan Lucassen 
2026-09-24T17:30:27.422366+00:00,Migration and Labor 1900,4,Negro migration in 1916-17 
2026-09-24T17:30:27.422366+00:00,Migration and Labor 1900,5,"The genesis of international mass migration : the British case, 1750-1900 "
2026-09-24T17:45:19.540382+00:00,cats AND dogs,1,Scientific and humane issues in the use of random source dogs and cats in research 
2026-09-24T17:45:19.540382+00:00,cats AND dogs,2,Scientific and humane issues in the use of random source dogs and cats in research 
2026-09-24T17:45:19.540382+00:00,cats AND dogs,3,Sunday morning. Osgood short : like dogs and cats 
2026-09-24T17:45:19.540382+00:00,cats AND dogs,4,Cats : a history 
2026-09-24T17:45:19.540382+00:00,cats AND dogs,5,Deafness in dogs and cats 
2026-09-24T18:00:29.287277+00:00,saltwater encroachment AND climate change,1,Simulation of salinity intrusion along the Georgia and South Carolina coasts using climate-change scenarios 
2026-09-24T18:00:29.287277+00:00,saltwater encroachment AND climate change,2,Simulation of salinity intrusion along the Georgia and South Carolina coasts using climate-change scenarios 
2026-09-24T18:00:29.287277+00:00,saltwater encroachment AND climate change,3,"Simulation of water-table and freshwater/saltwater interface response to climate-change-driven sea-level rise and changes in recharge at Fire Island National Seashore, New York "
2026-09-24T18:00:29.287277+00:00,saltwater encroachment AND climate change,4,"Simulation of water-table and freshwater/saltwater interface response to climate-change-driven sea-level rise and changes in recharge at Fire Island National Seashore, New York "
2026-09-24T18:00:29.287277+00:00,saltwater encroachment AND climate change,5,Sudden spring : stories of adaptation in a climate-changed South 
2026-09-24T18:15:22.088433+00:00,project management AND software,1,Project management 
2026-09-24T18:15:22.088433+00:00,project management AND software,2,The project management tool kit : 100 tips and techniques for getting the job done right 
2026-09-24T18:15:22.088433+00:00,project management AND software,3,Project management : case studies 
2026-09-24T18:15:22.088433+00:00,project management AND software,4,Painless project management with FogBugz
2026-09-24T18:15:22.088433+00:00,project management AND software,5,Adaptable project management : a combination of agile and project management for All (PM4A) 
